twogram,frequency
que cétait,4649
la connais,4644
souviens pas,4600
oui mais,4586
non bien,4577
avais raison,4570
tu avais,4570
faites quoi,4565
vois ce,4556
tant pis,4549
le veux,4549
pas fini,4541
ce sera,4535
a bientôt,4525
fait peur,4518
cest déjà,4502
peutêtre pas,4499
pas lui,4496
et bien,4492
mais cest,4492
fais voir,4484
me va,4474
que ten,4469
oh merci,4452
à bientôt,4450
viens voir,4448
vous aime,4447
va mieux,4444
depuis quand,4435
fait rien,4421
cest là,4419
votre honneur,4413
mais je,4397
une chose,4393
faistu là,4392
merci à,4390
bonjour monsieur,4386
si vous,4385
oublie ça,4378
cest ta,4368
il se,4367
me manques,4361
des conneries,4349
oh que,4338
vous connais,4328
vous permettez,4326
peux rien,4324
ouais cest,4320
ça lest,4316
quoi parlestu,4310
cest beau,4310
te rappelle,4309
tas vu,4300
salut papa,4299
jai essayé,4299
dois te,4297
vois rien,4296
de leau,4295
ton aide,4286
êtes en,4282
à tous,4278
va sen,4275
le sens,4274
a disparu,4272
en es,4269
où suisje,4264
la dit,4249
vous demande,4248
te tiens,4247
chose à,4241
ok ok,4226
est ton,4223
la folie,4217
dis ça,4215
quelle a,4197
êtes fou,4197
comme moi,4171
avec nous,4166
laissez tomber,4163
ny crois,4160
le saistu,4156
est votre,4152
comment cest,4149
souviens de,4142
na rien,4139
en parler,4137
suis prêt,4135
à demain,4133
cest compris,4133
veux rentrer,4132
tu les,4130
allez vous,4130
à te,4120
êtes là,4108
es en,4107
il fait,4107
je técoute,4106
de ton,4101
tu verras,4095
un message,4090
marché conclu,4071
quel sujet,4070
fais gaffe,4069
mon mieux,4062
te lavais,4060
attendez un,4056
un ordre,4050
mas manqué,4048
te tuer,4039
pour le,4039
oui chef,4035
lai déjà,4034
cest terrible,4034
la fait,4030
peux entrer,4025
nous sommes,4013
où estce,4008
sen fout,4006
me regarde,3999
vous entendez,3995
vous connaissez,3989
bonne question,3988
non ce,3986
au travail,3956
a demain,3941
faut y,3937
hé hé,3933
la question,3930
cest ici,3920
vous écoute,3912
votre attention,3907
un homme,3902
entendu parler,3902
longue histoire,3899
jai tout,3897
sens bien,3894
quil fait,3894
pense que,3890
bonne soirée,3890
jai eu,3888
es prêt,3883
un plaisir,3879
daccord daccord,3878
quelle surprise,3876
jaime ça,3871
on le,3867
que faire,3867
ten penses,3867
le chercher,3865
oui mon,3853
oh vraiment,3847
le mien,3841
doisje faire,3839
que doisje,3839
on arrive,3836
je regrette,3834
à quel,3827
fais ça,3824
dis rien,3822
quen distu,3820
le feu,3818
votre majesté,3817
cest étrange,3814
sais ça,3808
sais plus,3806
as entendu,3806
est presque,3803
vas où,3797
quoi dire,3794
tu regardes,3793
tu entends,3788
te parle,3780
cest absurde,3778
cest dangereux,3772
ne marche,3753
regardezmoi ça,3750
non attends,3748
de mal,3743
comme toi,3739
qui je,3736
vous foutez,3736
comme dhabitude,3735
cétait bien,3730
oui pourquoi,3725
narrivera pas,3720
de même,3720
à ton,3720
passe ici,3719
en quelque,3714
quelque sorte,3714
se fait,3710
de retour,3710
y croire,3707
votre aide,3706
à tout,3704
tu la,3701
toi et,3697
veux savoir,3693
au boulot,3692
pas grandchose,3685
êtes sûre,3684
sais je,3682
ne fait,3682
je reste,3681
sans doute,3672
toujours là,3672
est tard,3666
bien entendu,3665
vous prie,3662
mens pas,3661
pas une,3659
regardemoi ça,3656
excusez moi,3650
oui moi,3646
jai oublié,3644
en venir,3643
je devrais,3639
et tu,3632
que vastu,3630
vastu faire,3630
jai vu,3627
as faim,3627
ton arme,3626
cest lheure,3623
vous crois,3623
te connais,3622
oh seigneur,3622
me touchez,3618
des questions,3615
quel genre,3613
ça vient,3610
faire quelque,3609
veux un,3605
votre temps,3602
je fasse,3598
où vous,3593
vous lai,3591
cest des,3586
cest inutile,3585
qui tarrive,3581
quen ditesvous,3580
estil arrivé,3580
oh putain,3575
quoi sagitil,3574
pas faim,3571
oui daccord,3570
mon ami,3569
cétait une,3556
vous faire,3555
men doutais,3550
vous voir,3543
bordel de,3539
que faitil,3536
vous navez,3536
va voir,3535
ça que,3525
vais faire,3518
je connais,3518
une femme,3517
quastu fait,3513
