twogram,frequency
vais vomir,1046
ny suis,1046
chose est,1045
laissela tranquille,1045
te sortir,1045
sortir de,1045
me disais,1043
suis bien,1043
cest superbe,1042
vous attend,1042
le mérites,1042
peu oui,1042
estil passé,1041
es vivant,1040
je lappelle,1040
comptez sur,1039
va venir,1039
bien le,1038
ne quitte,1038
suis certain,1037
oui un,1036
bonjour chéri,1036
quelle merde,1036
suis pressé,1036
parler une,1035
vos jeux,1035
la musique,1035
lavez entendu,1035
faites vos,1035
et vite,1034
comment savezvous,1034
qui ce,1034
de problèmes,1033
rien na,1033
lamour du,1033
dégage de,1033
na changé,1033
quelle question,1032
veux manger,1031
excusezmoi un,1031
toute seule,1030
cest inacceptable,1030
prends le,1030
un génie,1029
peu plus,1029
ce délire,1028
ne veut,1028
si ça,1028
a compris,1027
cest excellent,1027
par terre,1027
plaît non,1027
être pire,1026
quil fout,1026
très bonne,1026
tiens au,1026
ca arrive,1025
est amis,1024
comment tas,1023
si grave,1023
le truc,1021
avoir un,1021
veuillez vous,1021
tu tiens,1021
oh bonjour,1020
savoir pourquoi,1020
suis crevé,1019
veux essayer,1019
avez un,1018
pas rien,1017
jentends rien,1016
toi alors,1016
les affaires,1016
que voistu,1016
tavais dit,1016
on avance,1016
écoutezmoi bien,1015
salut beauté,1015
oui mdame,1014
peux dire,1013
suis rentré,1012
jai confiance,1012
cest confidentiel,1011
jai lair,1011
elle te,1011
quoi jai,1011
ok très,1010
ya quelquun,1009
vous raccompagne,1008
a til,1007
cest réel,1007
dix minutes,1007
vous estil,1007
pourquoi tes,1006
cest scandaleux,1006
mauvaises nouvelles,1005
ne commence,1004
les as,1004
de lautre,1004
en voilà,1004
lautre côté,1004
vous remercier,1003
enfin bref,1003
le reste,1003
plaisir de,1002
vient darriver,1001
souviens plus,1000
à trois,999
en dites,998
cette question,997
dois répondre,997
le moins,997
sois là,997
savais que,997
est largent,997
tu sois,997
ten va,997
quand vous,997
pourquoi cette,997
vas ten,996
jy compte,996
ten sortir,996
compte bien,996
ny comprends,995
pu faire,995
laisse pas,994
me laisse,994
es libre,994
suis calme,994
comment puisje,994
pas étonnant,993
cette histoire,993
oui jarrive,992
pauvre con,992
loin de,992
par pitié,992
viens te,991
pas nécessairement,990
de réponse,989
que jamais,989
peut entrer,989
pas génial,988
viens me,988
te préviens,988
comme si,988
est comment,987
ma jambe,987
est cette,987
moindre idée,986
très juste,986
daprès toi,986
ne vas,985
me dit,985
est venu,985
cest vide,985
cétait bizarre,985
le dois,984
je mennuie,984
quavezvous trouvé,983
beaucoup dargent,983
trois ans,983
êtes blessé,982
jy retourne,982
laissele partir,982
est fini,982
ai rien,981
aidez moi,981
où cest,981
rien que,980
veux plus,980
cétait magnifique,979
voulais me,978
non vous,978
ok on,977
ne laime,977
laime pas,977
absolument rien,977
te promets,977
elle lest,977
deux semaines,977
le seul,976
pas tué,976
ny vais,976
la eu,976
seul moyen,976
suis occupée,975
vaton faire,975
nes pas,975
ma gueule,975
tu nes,975
que vaton,975
nest que,974
fait est,974
première fois,974
come on,974
bonne surprise,974
me débrouillerai,973
vais aller,972
à fond,972
rentrer à,971
est parfaite,970
quatil fait,970
pas attendre,970
vous emmerde,970
est incroyable,970
quelle idée,970
me reçois,969
vais lappeler,968
je monte,968
ça brûle,968
est quelle,968
vos mains,967
on sort,967
est gentil,967
qui marrive,966
oui père,966
veuxtu faire,966
donnemoi une,965
en ligne,964
est revenu,964
excusezmoi madame,963
au rapport,962
sur toi,962
le voyez,962
le fallait,961
tes cinglé,961
non quoi,961
en parlera,961
pas terrible,960
alors qui,960
laissemoi texpliquer,959
ferais pas,959
pas confiance,959
suis dessus,959
tavais raison,959
cest excitant,958
oh génial,958
quattendezvous de,956
se pourrait,956
lui parlerai,956
tire pas,956
ne tire,956
reviens de,956
tes pas,956
vous assure,955
sont pas,955
ne sont,955
oui beaucoup,955
bonjour ma,954
mais enfin,954
fête est,954
en ordre,953
mais maintenant,952
cul sec,952
puisje entrer,952
en joue,952
le sois,951
le déteste,951
un conseil,950
ne loublie,950
y retourner,950
loublie pas,950
joli coup,950
se dépêche,949
de sujet,949
sont partout,949
surprise pour,947
quoi ces,947
génial non,947
ces conneries,947
quelle journée,947
las trouvé,946
quil veut,946
laissezle partir,945
il nen,945
bien lui,945
nen est,945
question de,943
comment faire,943
nétais pas,943
pensez quoi,942
un mauvais,942
mauvais pressentiment,942
veux ma,942
il paraît,941
votre main,940
veux jouer,940
à suivre,939
quel point,939
est non,938
la réponse,938
laissela partir,938
réponse est,938
pas tous,938
mas compris,938
ben quoi,938
comment sappelletelle,938
en colère,937
mas sauvé,937
as oublié,937
devenu fou,936
parle pour,936
on sest,936
un service,936
prie asseyezvous,935
truc à,935
où vatil,934
super idée,933
sans rancune,933
ne ferais,932
mais où,932
de chez,932
devons partir,932
baisse ton,932
je regarde,931
sont ici,931
jy peux,931
ainsi soitil,931
va merci,930
jsais pas,930
dire une,930
pas loin,929
perdez votre,929
mes yeux,929
dois savoir,929
bien madame,929
moi ça,929
vous perdez,929
comment peuxtu,928
ny touchez,928
peuxtu dire,928
il pleut,927
ressemble pas,927
tope là,927
elle sappelle,927
whoa whoa,926
cherches quoi,926
donc ça,925
ici sil,925
entendez ça,924
mets ça,924
on arrête,923
êtes marié,922
voulez quelque,922
je commence,922
de choses,921
la tué,921
cest correct,920
va samuser,920
mon vieux,920
jai remarqué,919
quelle fille,919
ça tourne,918
série originale,918
une série,918
originale netflix,918
se reproduira,918
une solution,917
mal à,917
non coupable,917
pourquoi distu,916
distu ça,916
dismoi tout,915
javais compris,914
est génial,913
pas toujours,913
moi donc,913
vais texpliquer,913
feu à,912
laissemoi entrer,912
à volonté,912
ça nexiste,911
lair bon,911
vais vérifier,910
faismoi plaisir,910
suis coincé,909
jimagine que,908
top secret,907
cest extraordinaire,907
veuxtu de,907
arrête la,907
que cherchezvous,907
ditesvous ça,906
ça commence,906
verra ça,906
dire quelque,906
est papa,906
ils ont,906
lui aussi,906
mon idée,906
craignez rien,905
ne craignez,905
es un,905
petit con,904
hé bien,904
les temps,904
cest maman,904
que me,903
me voulezvous,903
dis moi,903
les hommes,902
ah cest,902
tu saignes,902
est foutus,902
connais ça,902
cest moche,901
et oui,901
te fiches,901
laissezmoi entrer,901
besoin dargent,901
jai terminé,901
faire mal,901
fiches de,901
que ce,900
à expliquer,900
monsieur le,900
lavez vue,899
votre père,899
et celuilà,899
arrête un,898
rien ici,898
navez rien,897
signez ici,897
as quoi,896
occupetoi de,896
crains que,895
des amis,895
veux taider,895
je crains,895
pourquoi cela,895
cétait facile,894
ouais ok,894
les amis,894
ouvrez cette,894
serait génial,894
dans mon,893
mon bureau,893
avoir fait,893
joyeux thanksgiving,892
vous rappelez,892
dire un,891
restez avec,891
es viré,891
y croyez,890
est quittes,889
a lintérieur,889
tu ressens,889
ai vus,888
minquiète pour,888
estce quon,888
tappelles comment,888
plusieurs fois,888
du vin,887
préfère pas,886
est possible,886
veux une,886
je continue,886
grand frère,886
tiensmoi au,886
quelle fait,886
guerre est,886
viens viens,885
te raccompagne,884
quils ont,884
me dire,883
es dingue,883
pose un,883
mintéresse pas,881
ne soyez,881
heureux de,881
ai parlé,881
ne mintéresse,881
ta fille,881
napproche pas,881
tai vu,881
vous rejoins,880
laisse moi,880
es revenu,880
en avance,880
je dormais,879
tes prête,879
mettezvous à,879
ma tête,879
rester ici,879
depuis longtemps,879
lai tuée,879
cest si,878
trop mal,878
suis vivant,876
nimporte qui,876
mon anniversaire,876
faites ça,875
oh yeah,875
en as,874
venez là,874
il avait,874
suis toujours,874
à personne,873
il veut,872
cette chanson,872
jadore cette,872
ton idée,872
cétait ton,872
merci chéri,871
nai tué,871
cadeau pour,870
sest enfui,870
en étaisje,869
appelle la,869
as bu,869
quil arrive,868
sois gentil,868
je mappelle,868
pourquoi avezvous,868
bon on,867
lui fais,867
ma belle,867
mavez menti,866
si fort,866
cest presque,866
quoi estce,866
cest chez,865
veux juste,864
tai cherché,864
as trouvé,864
es enceinte,864
la règle,863
tue pas,862
y travaille,862
apparemment non,861
êtes libre,861
à quelle,861
pouvez le,861
et merci,860
estu là,860
es au,860
une menace,859
être génial,859
as froid,859
men tape,859
depuis le,859
devriez avoir,859
cinq ans,859
non sérieusement,858
va toi,858
votre grâce,858
peu probable,858
suis heureuse,857
oh rien,857
penses vraiment,857
non chérie,857
peut te,857
la drogue,857
vais revenir,856
êtes viré,856
revoir chérie,856
sale pute,855
es si,855
mon chemin,855
serait super,855
si belle,855
nayez crainte,854
êtes de,854
ne lécoutez,854
lécoutez pas,854
est armé,853
voulez un,853
tas gagné,852
légitime défense,852
du retard,851
en est,851
désolé du,851
que personne,851
allons donc,850
tes en,850
go go,850
bon bon,849
allez tout,849
ne tinquiètes,848
êtesvous ici,848
que veutil,848
tinquiètes pas,848
vous tuer,848
cest pathétique,848
avez quoi,848
avant toute,847
tu ris,847
le retard,847
un malentendu,847
et sinon,846
suis seul,846
vraiment non,846
écoutez ça,846
encore loin,845
un idiot,845
tellement manqué,844
vous préviens,844
mas tellement,844
sentez bien,843
dans tes,843
tu bois,843
vos papiers,843
tes rêves,843
bonjour mesdames,842
pouvais pas,842
ne pouvais,842
est beau,842
quils disent,840
les adore,840
que vaisje,840
avons un,840
allez cest,840
vaisje faire,840
on avait,839
un accord,839
vous déranger,839
avait un,839
me tuez,839
tu rentres,838
pas idiot,838
ecoutezmoi bien,838
que désirezvous,837
en quel,837
cest froid,837
oui sergent,837
bien voilà,836
super merci,836
alors ça,835
ça viendra,834
y retourne,834
vasy doucement,834
vasy toi,833
quoi ici,833
haut les,833
le trouver,832
bien capitaine,832
vais rester,832
la quoi,831
étais où,831
jusquà maintenant,831
à temps,830
ne tentends,830
peux rester,830
puisje dire,830
jai lhabitude,830
sortezmoi de,830
restez calmes,830
juste à,830
vous jure,829
y êtes,829
daccord très,829
ça avance,829
qui alors,829
on commence,829
semaine dernière,828
lavez trouvé,828
va passer,828
étais sûre,828
pas fou,828
vous cherchais,828
prends ma,828
laissezmoi voir,827
quon ma,827
mauvaise réponse,827
as quelque,827
est tombé,827
pose ton,826
au moins,826
dois maider,826
ça gaze,826
chaud devant,825
cétait parfait,825
a s,825
r a,825
du cul,824
trou du,824
cest pire,824
oh chérie,824
très mal,823
il reviendra,823
pris ma,823
ici je,822
êtes au,822
ça saute,822
fais le,822
non désolée,822
et que,822
jai honte,821
hé ho,821
suis aveugle,821
cétait rapide,821
moi je,820
oui colonel,820
sens rien,820
ne sens,820
te tuerai,820
se bouge,819
devinez quoi,819
laissemoi réfléchir,818
vrai ça,818
très bientôt,818
nétait rien,818
bienvenue au,817
au club,817
viens chérie,817
je tattendrai,817
bonsoir messieurs,817
avez trouvé,817
est dangereux,817
cest gratuit,816
mal du,816
en privé,816
espèce didiot,816
me couche,816
chose cloche,815
chaque jour,815
essayez encore,815
étais là,815
montrer quelque,815
cest noël,815
vous laimez,814
choses ont,814
que diable,814
vais rentrer,813
la fois,813
ecoute ça,813
cest agréable,813
sous contrôle,812
est sous,812
tout y,812
mieux dy,811
encore moi,811
ferais mieux,811
tu partes,811
la prends,810
es où,810
cest compréhensible,810
merci vieux,809
allez plus,809
donnemoi la,808
tu imagines,808
la main,808
jai échoué,808
laissemoi passer,807
va la,807
tai fait,807
ma dame,806
instant sil,806
cest coincé,806
as ma,805
temps en,805
en temps,805
non vasy,805
rien dimportant,804
me dégoûtes,804
nuit papa,803
rendsmoi ça,803
ai peur,802
garde à,802
peux la,801
peux lui,801
quelques jours,801
jy arriverai,801
y vas,801
crie pas,800
ne crie,800
devons parler,799
un baiser,799
cest risqué,799
une perte,799
ca a,799
pas changé,799
jallais oublier,799
perte de,799
dois men,798
men aller,798
lai lu,798
veuillez me,797
cest fabuleux,797
la compagnie,797
change rien,797
écoutez tous,797
lui prend,797
me suivre,797
toujours comme,796
facile à,796
cest officiel,796
donnele moi,796
veux entrer,795
ne bois,794
bois pas,794
personne ici,794
cest lourd,794
trois jours,794
ça fonctionne,793
bon allez,793
on entre,792
revaudrai ça,792
d accord,792
du balai,792
te revaudrai,792
ça doit,791
être ça,791
doit être,791
de pleurer,791
il revient,791
bon signe,790
cest malin,790
ah ça,790
y aille,790
ne ténerve,790
quon y,790
dans ta,789
ta chambre,789
va dans,789
oui allonsy,789
mon enfant,789
me cherches,788
enlève ça,788
est géniale,787
quon attend,787
las entendu,787
sera long,787
ne mécoutes,786
mécoutes pas,786
attendsmoi ici,786
eu ton,785
ton message,785
et pourtant,784
au voleur,784
a quelle,784
las tuée,783
soustitrage tvs,783
êtes prête,783
mes enfants,782
ecoute moi,781
une voiture,781
le but,781
tas peur,781
la marche,781
allez pas,781
ny allez,781
qui signifie,781
laissezla tranquille,780
mavez entendu,780
êtesvous là,780
bien toi,780
manquerai pas,779
sur vous,779
tes content,779
ny manquerai,779
bon débarras,779
bonsoir madame,779
quoi il,779
cétait marrant,778
cest quelque,778
qui tamène,778
devez me,778
faites gaffe,777
ça comme,777
restez pas,776
veux sortir,776
ne restez,776
de bêtises,776
un fantôme,776
sûr monsieur,775
on descend,775
heil hitler,775
on parie,774
et lautre,774
êtes médecin,774
alerte rouge,774
suis curieux,774
veux boire,774
me changer,774
y arrivera,773
ca craint,773
combien sontils,773
depuis combien,773
nous non,773
merci chef,772
oh arrête,772
jarrive dans,772
bon écoutez,772
nuit dernière,771
pareil pour,771
et ici,771
me marier,771
astu peur,771
telecharger a,770
drhouse overblogfr,770
source sur,770
la source,770
sur drhouse,770
de telecharger,770
à lattaque,770
jai paniqué,770
cétait très,769
êtes daccord,769
dubbing brothers,769
devrait aller,769
revenez ici,768
cest foutu,768
au plaisir,768
oui bonjour,768
jeune homme,768
pas folle,768
en ville,767
oui commandant,767
quel homme,767
pas réel,767
posez votre,767
meurs pas,766
ne meurs,766
pas raison,765
taime tant,765
bien mexcuser,765
fais demitour,765
va arriver,765
deux heures,765
baissez votre,764
a trois,764
au sol,764
réfléchis bien,764
y crois,763
ne comprend,763
comprend pas,763
revoir monsieur,762
jignore de,762
écoute bien,762
oh zut,762
dites quelque,761
jai perdu,761
incroyable non,761
hum hum,761
oh wow,760
a lattaque,760
pas comment,759
lui faites,759
on pourrait,759
deux secondes,758
la fabrique,758
mon garçon,758
allez papa,758
es seul,758
cet aprèsmidi,757
tu saisis,757
encore merci,757
en personne,756
tas lair,756
vais partir,756
estil maintenant,756
jure devant,755
cétait merveilleux,755
devant dieu,755
ouvre cette,753
disle moi,753
es toujours,753
je taiderai,753
le chien,753
pourquoi non,753
la lumière,752
titra film,752
faisons ça,751
y arriveras,751
pas merveilleux,751
suis foutu,750
ne dirait,750
est marié,750
tout essayé,750
a linstant,749
les salauds,748
quel culot,748
bien et,748
en contact,748
on reste,748
lui avez,748
vous lui,748
avez parlé,748
ça donne,747
je raccroche,747
donne quoi,747
mon ange,746
est toujours,746
bon choix,745
cétait stupide,745
voilà tout,744
demande pourquoi,744
prenez place,744
dormez bien,744
vais pisser,744
quelle femme,743
je euh,743
suis chez,743
sera fait,742
on reprend,742
si heureuse,742
allez dehors,742
prochain épisode,742
déjà arrivé,742
quelles choses,742
voyez pas,741
cest répugnant,741
ne voyez,741
es cinglé,740
viens maider,740
affaire classée,739
dun verre,739
oh chéri,739
cétait vrai,739
des problèmes,739
ce pas,738
vais les,738
vous mécoutez,738
nest ce,738
regardez autour,738
les chercher,738
jai pensé,738
red bedroom,737
partez maintenant,737
le connaissiez,737
te laisser,737
bedroom team,737
la seule,736
devrais essayer,736
seule solution,736
bon film,735
aller travailler,735
faire vite,735
devez maider,734
pile à,734
sale con,734
enfin je,734
fera laffaire,734
on monte,734
nuit maman,734
cest autre,734
ny touche,734
à peine,734
ma vue,734
ça fera,734
vous nen,733
nen savez,733
du lait,733
dix ans,733
mon coeur,733
oui lieutenant,733
as mal,733
ici monsieur,733
peur que,732
on danse,732
non arrêtez,732
restez assis,732
entends pas,732
elle la,732
suffit maintenant,732
assiedstoi là,731
je tembrasse,730
qui dit,730
lâchez ça,730
tappelle plus,730
fume pas,729
quoi puisje,729
ne fume,729
que peuton,728
peuton faire,728
suis épuisée,727
un désastre,727
arrêtez pas,727
ta fait,727
vous arrêtez,727
plus rien,726
suis épuisé,726
le rapport,726
du suicide,726
sens ça,726
ok alors,726
devrais avoir,725
tu pourrais,724
le touchez,724
lavez dit,724
daccord allonsy,723
en sais,723
euh ouais,723
la perdu,723
est ta,723
as à,722
pas chez,721
suis comme,721
astu trouvé,721
je texplique,721
mêle pas,720
ten mêle,720
as un,720
des témoins,720
instant je,720
maman est,720
as changé,720
souhaitemoi bonne,720
objection votre,720
petite minute,719
coup monté,719
une petite,719
pas entrer,718
cest suffisant,718
quelquun arrive,717
cétait ma,717
oh désolée,717
vasy vasy,717
eh merde,717
faites mal,717
es ravissante,716
cest ainsi,716
mais bon,716
ouais mec,715
sans espoir,715
le saurais,715
suis marié,715
la classe,714
cétait elle,714
cest embarrassant,714
es blessée,714
entre autres,714
non écoute,713
va mec,712
fête commence,712
venez venez,712
que la,712
mal non,711
mas eu,711
laissezmoi lui,710
devrais partir,710
la moitié,710
allons faire,710
as quel,709
je blague,709
temps de,709
de partir,709
du genre,709
bonne réponse,709
estce exact,709
es content,708
avant marche,708
pas tuée,707
te regarder,707
de respect,707
je marche,707
se replie,706
faites demitour,706
me voici,706
des fleurs,705
faisle pour,705
tentends ça,704
ne regardez,704
sortezle dici,704
de bonnes,703
te battre,703
cest dément,703
restez tranquille,703
merci m,702
regarde toi,702
et voila,701
astu dit,700
a moins,700
trop bizarre,700
vous et,700
êtes encore,699
ne touchez,699
touchez à,699
déjà ça,699
te rejoins,699
change quoi,698
cette nuit,698
as mangé,698
devrais le,698
devons y,698
allez hop,697
te couvre,697
du sérieux,697
du champagne,697
fini maintenant,697
bien au,697
dit toimême,697
putain mec,697
était ouverte,696
ok les,696
elle aussi,696
faitelle ici,696
porte était,696
on lignore,695
mes cheveux,695
suis partant,695
plus dimportance,695
la la,695
en partie,695
et ton,695
fort que,694
taimes ça,694
avezvous eu,694
oh attends,694
où avezvous,694
bois ça,693
va chérie,693
le fbi,693
ne mas,692
bonsoir tout,692
laissemoi finir,692
faites place,692
vous offre,692
le sentir,692
désolé les,692
par quoi,692
offre un,692
trois mois,692
à cacher,692
sans déc,692
lui dire,691
tiensmoi ça,691
ce quelle,691
jhabite ici,691
perd du,691
ne presse,690
faitesle sortir,690
eu un,690
tu fumes,690
ça suffira,689
ce cirque,689
mien aussi,689
ça ta,689
pas suffisant,689
te croyais,689
croyais mort,689
ta plu,689
de cassé,688
jy penserai,688
tas quoi,688
perds ton,688
cest entendu,688
tu perds,688
pourquoi suisje,687
voulezvous de,687
pas dautres,687
savez bien,687
toi que,687
suisje ici,687
vite que,686
est réglé,686
jai adoré,686
es daccord,686
je my,686
quel connard,686
suis rentrée,685
oui jimagine,685
savez où,685
nêtes pas,685
va me,685
malheureusement non,685
tu quoi,685
vous nêtes,685
peux regarder,684
la routine,684
bien aller,684
failli oublier,684
jai failli,684
me plais,684
ouais merci,683
de tel,683
javais pas,683
men occuperai,683
je minquiétais,683
vu de,683
quel type,683
sortez tous,683
sagit pas,683
jamais rien,683
ne sagit,683
va lui,683
le bon,682
bon moment,682
pas pu,682
que savezvous,682
allez dépêchezvous,681
allez bébé,681
ça létait,681
le mariage,680
mais plus,680
ils sen,680
et largent,680
sen vont,680
aide moi,680
comment on,680
ça tintéresse,678
de personnel,678
es de,678
fort bien,678
très heureux,678
où memmenezvous,678
va dormir,678
a mort,678
encore toi,677
avais pas,677
dis nimporte,677
pas pensé,677
asseyezvous sil,677
pense plus,677
ny avais,677
tironsnous dici,677
manques aussi,677
pense oui,677
que tarrivetil,676
est occupé,676
le mérite,676
que faisonsnous,675
nen a,675
laisse ça,675
pourrait marcher,675
maintenant ou,675
ou jamais,675
crois moi,675
du nerf,674
trois fois,674
plus de,674
porte est,674
avoir une,674
le docteur,674
salut charlie,674
est ouverte,674
elle sait,673
es adorable,673
va en,673
où habitezvous,673
en enfer,673
doù vientil,673
regardemoi dans,673
allez dépêchetoi,673
comment êtesvous,672
allez file,672
ne viendra,672
doit faire,672
viendra pas,672
êtesvous entré,672
lun ni,671
ni lautre,671
ni lun,671
vous non,670
las trouvée,670
putain non,669
je naurais,669
la séance,668
bonne mine,668
séance est,668
est levée,668
la peur,668
comment estelle,668
as bonne,668
un toast,668
tattends quoi,667
va ta,667
te ramène,667
du sucre,667
es venu,666
pardon madame,666
bon hein,666
oui super,666
quel motif,666
pour quel,666
prends pas,666
ny peut,666
laissemoi sortir,665
non impossible,665
tiens regarde,665
se marier,664
oui général,664
a partout,664
sont trop,664
trop nombreux,664
ils savent,664
silence sil,664
va se,664
la déteste,664
ne dirais,663
et ta,663
tout cas,663
encore et,663
dirais pas,663
es encore,663
en tout,663
tu tattendais,662
téléphone sonne,662
avez peutêtre,662
mavez sauvé,662
tattendais à,662
cest effrayant,662
estu ici,662
musique douce,661
pas respirer,661
questce quy,661
la meilleure,661
arriverai pas,661
papa est,661
oui ma,661
ny arriverai,661
la trouvé,660
ton langage,659
fâche pas,659
surveille ton,659
salut vieux,659
cest faisable,659
laissezla partir,659
te fâche,659
pas seulement,658
sortezle de,658
je lemmerde,658
vous imaginez,657
cest dégueu,657
à linstant,657
elle rit,657
je demande,657
je saigne,657
vous approchez,656
pas savoir,656
de salope,656
approchez pas,656
tappelle demain,656
rien rien,655
toi oui,655
êtes toujours,655
un crime,655
faiton maintenant,655
te retourne,655
juste ciel,655
ma sauvé,655
retourne pas,655
elle le,654
des idées,654
posé une,654
bien bonne,654
allez chérie,654
tai posé,654
cest honteux,653
me recevoir,653
que suggérezvous,653
encore vous,653
tes le,653
comptestu faire,652
le fils,652
oui désolé,652
vas la,652
quand estce,652
il létait,652
que comptestu,652
crains rien,652
ne crains,652
que tattends,652
il rit,652
la fermer,652
sorsmoi de,652
les trois,651
te veux,651
en garde,650
serai pas,650
fous quoi,650
ne serai,650
peux arranger,649
comme qui,649
est petit,649
cest pourquoi,649
texcuse pas,649
es marié,649
ne texcuse,649
ne reviendra,648
désolé dêtre,648
ou bien,648
reviendra pas,648
votre mère,648
vous lêtes,648
quelle connerie,647
avezvous dit,647
façon de,647
arrête sil,647
mon cœur,647
êtes superbe,647
salut jack,647
une différence,647
cest naturel,646
attention attention,646
cest temporaire,646
important pour,646
qui tourne,645
a table,645
seule chance,645
tête qui,645
je lavais,645
passé ici,645
plutôt bien,645
notre seule,645
votre mari,645
jai la,645
foutez là,645
oui comme,644
tuezles tous,644
plus là,644
maman papa,644
nest plus,644
suis mariée,644
suis amoureux,644
à table,644
à mort,643
là nest,643
posez ça,642
tas pigé,642
du délire,642
adapté par,642
je temmène,641
vraiment bon,641
de fois,641
déjà entendu,641
pour quand,641
laissemoi regarder,641
range ça,640
pourquoi lui,640
ecoutez ça,640
et action,640
que cela,639
suis revenu,639
choses à,639
de le,639
je réfléchissais,639
cela signifie,639
je vérifie,639
hé papa,639
faire mettre,639
tai entendu,638
ne maimes,638
soit ainsi,638
plutôt oui,638
pas votre,638
dis oui,638
maimes pas,638
je réponds,638
ca métonnerait,638
droit devant,637
ten sors,636
vous attends,636
vous aide,636
sors bien,636
moi dabord,635
ah ah,635
en souvenez,635
trop bien,635
jai arrêté,635
pas par,635
arrêtez tout,634
si longtemps,634
sors ça,634
tous mourir,634
quastu vu,634
va tous,634
est arrangé,633
se sépare,633
suis quoi,633
aidezmoi sil,633
dun service,632
estelle allée,632
tous là,632
suis parti,632
taimerai toujours,632
davoir appelé,632
merci davoir,632
nous voilà,632
je taimerai,632
hé attends,631
agents fédéraux,631
que cherchestu,631
merci sergent,630
que veulentils,630
tu souris,630
de lor,630
méprenez pas,629
vous méprenez,629
foutezmoi la,629
fichezmoi la,629
merci votre,629
travaille ici,628
te demander,628
sans faute,628
jetez vos,628
es réveillé,628
pas aussi,628
demander quelque,628
la pas,627
quavonsnous là,627
va arranger,627
grand dieu,627
tas quel,626
es jaloux,626
différence ça,625
les voici,625
que voulaitil,625
le reconnaissez,624
je proteste,624
pensais que,624
suis inquiet,624
je recommence,624
plus tôt,623
du conseil,623
merci du,623
le mieux,623
sans façon,623
sera le,623
tôt sera,623
questce donc,622
cest celuilà,622
à moins,622
rappelle pas,622
laissemoi lui,622
verrai ce,621
cest magique,621
pas sa,621
quelle dit,621
je verrai,621
bonjour les,621
et cellelà,621
sûr bien,621
à lhôpital,620
reste pas,620
devriez partir,620
viens aussi,620
ne reste,620
voit làbas,620
sont où,619
un faux,619
quon peut,619
saisis pas,618
quel truc,618
bonjour capitaine,618
cest lequel,618
suis impressionnée,618
mieux ainsi,618
ne saisis,618
qui voilà,618
la touchez,618
es le,617
dis juste,617
jallais le,617
sappelle comment,617
je viendrai,617
laimes bien,617
écoutez bien,616
vas te,616
suis son,615
quel argent,615
allez le,615
ah mon,615
vous adore,615
il respire,615
de patience,615
faites donc,615
peut aller,615
oh maman,614
qui as,614
étiez là,614
en attente,614
cest long,614
ok super,614
père est,614
apparemment pas,614
rien pour,613
cétait rien,613
suis certaine,613
enlevezmoi ça,613
vous arrive,613
reviens dans,612
ah je,612
plains pas,611
de plan,611
sont eux,611
beaucoup plus,611
en dehors,611
comme ceci,611
quastu trouvé,611
éteins ça,611
dehors de,611
mavez compris,611
jusquau bout,611
me plains,611
jai jamais,610
alors comment,610
narrivera jamais,610
quel intérêt,610
on tourne,609
un chien,609
me débrouille,609
dure journée,609
une première,609
dans ma,609
trop dur,609
a nous,608
plus le,608
est sortie,608
jaimerais le,608
cétait différent,607
vous rendez,607
jy comprends,607
viens doù,607
rendez compte,607
de pouls,607
est gentille,607
un livre,607
jésus christ,607
montez dans,606
jai mes,606
une possibilité,606
calme du,606
une douche,606
mes raisons,606
prendre une,606
voulez rire,606
tout sest,606
cétait ça,605
ii est,605
mon sac,604
peux lavoir,604
oui chéri,604
mes frères,604
vous explique,604
ma carte,604
voici ma,604
vraiment génial,604
ne répond,603
répond pas,603
mon bras,603
le touche,602
les connaissez,602
désolée je,602
le risque,602
question suivante,602
oh très,602
ou peutêtre,602
vous les,602
peux téléphoner,601
vous interrompre,601
descends de,601
tout a,601
êtes seul,601
la liberté,600
aucun risque,600
je gagne,600
a peine,600
quatre ans,600
ma tournée,600
en plus,600
suis avocat,600
bien moi,600
attendez quoi,600
va les,599
jeux sont,599
sont faits,599
sois un,599
sais non,599
pas chier,599
ils lont,599
les jeux,599
raté quelque,599
tu ferais,599
jai raté,599
lont tué,599
oui non,599
sois patient,599
bon début,599
fou non,598
quatre cinq,598
cétait le,598
plus pour,598
bonjour bonjour,598
en selle,597
m frodon,597
me suffit,597
sois gentille,597
mon commandant,597
tas perdu,596
qui décide,596
est ensemble,596
une deux,596
sil le,596
le con,596
lui a,595
lai entendu,595
a tiré,595
simple curiosité,595
une fête,595
allez lèvetoi,595
madame la,595
la présidente,595
on lui,595
on revient,595
vraiment toi,595
sept ans,594
arrêtez la,594
vous ici,594
change tout,594
ca dépend,594
soyons clairs,593
aie confiance,593
comptezvous faire,593
non chef,593
prenez garde,593
bye bye,593
que comptezvous,593
où ils,593
va comme,593
est innocent,592
elle ira,592
oui allezy,592
parle du,592
peut vous,592
du loup,592
est réveillé,592
on parle,592
quand on,592
la totale,591
mais alors,591
choses changent,590
trop bon,590
quelle belle,590
oh excusezmoi,590
qui parle,590
te perdre,590
du vent,590
de toute,589
où commencer,589
bien mieux,589
toute façon,589
suis perdue,589
va chercher,589
trop long,589
répondez à,589
fausse alerte,589
suis morte,589
distu de,589
est coincés,589
allez avance,588
une demiheure,588
ton choix,588
ca narrivera,588
merci lieutenant,588
cest grotesque,588
allez mourir,588
on taime,588
non moi,588
tu recommences,588
