search_string,start_time,end_time,sentence,video_id,video_url
waar we eigenlijk een heel water verhaal vertellen van hoe we met water in de toekomst om moeten gaan hier in,115,120,waar we eigenlijk een heel water verhaal vertellen van hoe we met water in de toekomst om moeten gaan hier in mechelen,JqSppQf6wMU,https://www.youtube.com/watch?v=JqSppQf6wMU&t=115s
makkelijk over als je geen familie bent of getrouwd kun je als man en vrouw niet zomaar over straat of op een,140,146,makkelijk over als je geen familie bent of getrouwd kun je als man en vrouw niet zomaar over straat of op een,IpaunryoIls,https://www.youtube.com/watch?v=IpaunryoIls&t=140s
ik weet niet eens meer waar de dagen zijn begonnen en welke week het is en hoe lang we dit aan het doen zijn,498,504,ik weet niet eens meer waar de dagen zijn begonnen en welke week het is en hoe lang we dit aan het doen zijn,kBQd4L7o7GY,https://www.youtube.com/watch?v=kBQd4L7o7GY&t=498s
als ik het zou willen worden dan moet ik dit wel nog even leren maar misschien kan ik dat dan hier mooi doen,612,615,als ik het zou willen worden dan moet ik dit wel nog even leren maar misschien kan ik dat dan hier mooi doen,GXQXMv1SRlE,https://www.youtube.com/watch?v=GXQXMv1SRlE&t=612s
gemaakt en daarmee ben ik naar mijn ouders gegaan en toen heb ik gezegd pap mam ik moet jullie wat vertellen,123,129,ik heb een bedrijfsplan gemaakt en daarmee ben ik naar mijn ouders gegaan en toen heb ik gezegd pap mam ik moet jullie wat vertellen,SlqElteXIEk,https://www.youtube.com/watch?v=SlqElteXIEk&t=123s
ik vind het altijd heel erg leuk om te lezen wat mensen er van vinden en dat ze zo trots zijn en wat dan ook,812,820,ik vind het altijd heel erg leuk om te lezen wat mensen er van vinden en dat ze zo trots zijn en wat dan ook,sONZhl65sB0,https://www.youtube.com/watch?v=sONZhl65sB0&t=812s
maar mensen praten je vaak naar de mond dat heeft helemaal niet zo vreselijk veel zin die willen aardig zijn,97,100,maar mensen praten je vaak naar de mond dat heeft helemaal niet zo vreselijk veel zin die willen aardig zijn,HQR2bzqOIzQ,https://www.youtube.com/watch?v=HQR2bzqOIzQ&t=97s
en nou gaan jullie morgen natuurlijk allemaal aan de gang maar ik moet natuurlijk morgen gewoon weer werken,4975,4982,en nou gaan jullie morgen natuurlijk allemaal aan de gang maar ik moet natuurlijk morgen gewoon weer werken,37RqLFakmo0,https://www.youtube.com/watch?v=37RqLFakmo0&t=4975s
zonder water je zou zeggen dat kan absoluut niet maar we gaan vandaag aan jullie laten zien dat dat wel kan,26,31,kajaken zonder water je zou zeggen dat kan absoluut niet maar we gaan vandaag aan jullie laten zien dat dat wel kan,Fj_kJ5HEnFc,https://www.youtube.com/watch?v=Fj_kJ5HEnFc&t=26s
we moeten ervoor zorgen dat er niemand is die er een paar weken later of in ieder geval te laat achter komt,23816,23822,we moeten ervoor zorgen dat er niemand is die er een paar weken later of in ieder geval te laat achter komt,9uOFhXkzEQQ,https://www.youtube.com/watch?v=9uOFhXkzEQQ&t=23816s
maar het is niet dat wij anders of meer of minder zijn dan gelijk welk ander ding dat s wil ik zelfs zeggen,1265,1278,maar het is niet dat wij anders of meer of minder zijn dan gelijk welk ander ding dat s wil ik zelfs zeggen,eUeLIPgef2A,https://www.youtube.com/watch?v=eUeLIPgef2A&t=1265s
dan vraag je eigenlijk iets heel erg anders terwijl je eigenlijk het antwoord krijg wat je graag wil hebben,2445,2454,dan vraag je eigenlijk iets heel erg anders terwijl je eigenlijk het antwoord krijg wat je graag wil hebben,25udztDPW_k,https://www.youtube.com/watch?v=25udztDPW_k&t=2445s
maar ik kan me zo voorstellen dat dat de afgelopen twee jaar niet echt mogelijk was zeker in het begin niet,171,176,maar ik kan me zo voorstellen dat dat de afgelopen twee jaar niet echt mogelijk was zeker in het begin niet,JP_NBkvkwcg,https://www.youtube.com/watch?v=JP_NBkvkwcg&t=171s
en dat begrijp ik heel erg goed voor mij betekent het wel dat het vrij rustig is of in ieder geval een stuk,536,543,en dat begrijp ik heel erg goed voor mij betekent het wel dat het vrij rustig is of in ieder geval een stuk rustiger dan,25udztDPW_k,https://www.youtube.com/watch?v=25udztDPW_k&t=536s
maar goed als ze ander werk heeft maakt het eigenlijk niet zo veel uit want jij red je wel met het bedrijf,847,852,maar goed als ze ander werk heeft maakt het eigenlijk niet zo veel uit want jij red je wel met het bedrijf,bRpNHlQbwnc,https://www.youtube.com/watch?v=bRpNHlQbwnc&t=847s
want wij zijn hier een paar jaar geleden ook al een keer geweest maar toen was het nog niet zo mooi als nu,377,382,want wij zijn hier een paar jaar geleden ook al een keer geweest maar toen was het nog niet zo mooi als nu,LpIDixqRI74,https://www.youtube.com/watch?v=LpIDixqRI74&t=377s
we kunnen dan niet te horen krijgen dat anderen ze wel hebben en wij er nog twee maanden op moeten wachten,21457,21463,we kunnen dan niet te horen krijgen dat anderen ze wel hebben en wij er nog twee maanden op moeten wachten,QAjt9liE_a4,https://www.youtube.com/watch?v=QAjt9liE_a4&t=21457s
dat heb ik hier echt zien gebeuren de afgelopen maanden mensen die echt niet meer met elkaar wilden praten,2059,2064,dat heb ik hier echt zien gebeuren de afgelopen maanden mensen die echt niet meer met elkaar wilden praten,6aI9JzwGJy8,https://www.youtube.com/watch?v=6aI9JzwGJy8&t=2059s
wat meer los kunnen laten en wat meer hun eigen gang te laten gaan hoe moeilijk dat natuurlijk soms ook is,83,90,wat meer los kunnen laten en wat meer hun eigen gang te laten gaan hoe moeilijk dat natuurlijk soms ook is,4494VZxKRjc,https://www.youtube.com/watch?v=4494VZxKRjc&t=83s
mensen gaan niet direct naar het ziekenhuis toe al zegt het ziekenhuis van wel maar die komen ook naar ons,143,149,mensen gaan niet direct naar het ziekenhuis toe al zegt het ziekenhuis van wel maar die komen ook naar ons,gkl92tRjcbQ,https://www.youtube.com/watch?v=gkl92tRjcbQ&t=143s
omdat wij allebei een beetje nou ja daar tegen aan lopen dus hoe beter dan het gewoon hier op camera en op,92,101,omdat wij allebei een beetje nou ja daar tegen aan lopen dus hoe beter dan het gewoon hier op camera en op,05b5ALhkQ9w,https://www.youtube.com/watch?v=05b5ALhkQ9w&t=92s
onderzoek kijkt ja ik kan me bij een hele hoop van deze woorden iets voorstellen ik moet zeggen het meeste,427,432,onderzoek kijkt ja ik kan me bij een hele hoop van deze woorden iets voorstellen ik moet zeggen het meeste,EZMgSCfbiGs,https://www.youtube.com/watch?v=EZMgSCfbiGs&t=427s
komen dan bij mij meneer ik heb vandaag niets te eten mama vraagt of u wat eten mee kan sturen voor thuis,52,58,de leerlingen komen dan bij mij meneer ik heb vandaag niets te eten mama vraagt of u wat eten mee kan sturen voor thuis,beEK63Rmr7M,https://www.youtube.com/watch?v=beEK63Rmr7M&t=52s
dus ik heb geleerd dat mocht er nou ooit iemand zijn die uh ja die ik tegen kom die dus minder goed hoort,1140,1148,dus ik heb geleerd dat mocht er nou ooit iemand zijn die uh ja die ik tegen kom die dus minder goed hoort,F94oQobBQ2Q,https://www.youtube.com/watch?v=F94oQobBQ2Q&t=1140s
en als we dat niet kunnen verkopen voor twee drie weken dan wordt het moeilijk voor ons om het jaar af te,60,69,en als we dat niet kunnen verkopen voor twee drie weken dan wordt het moeilijk voor ons om het jaar af te ronden,ZB3iqejknHw,https://www.youtube.com/watch?v=ZB3iqejknHw&t=60s
maar aan de andere kant kan het ook een manier zijn om te zeggen nou dat willen we niet dus we gaan er in,590,596,maar aan de andere kant kan het ook een manier zijn om te zeggen nou dat willen we niet dus we gaan er in investeren,k1vwT6_PBi8,https://www.youtube.com/watch?v=k1vwT6_PBi8&t=590s
en jouw ouders kwamen ook naar mij toe zitten echt weet niet wat ik moet e zeggen maar het is zo prachtig,632,641,en jouw ouders kwamen ook naar mij toe zitten echt weet niet wat ik moet e zeggen maar het is zo prachtig kippenvel,s6PAUQJOaWc,https://www.youtube.com/watch?v=s6PAUQJOaWc&t=632s
